,pickup_zone,drop_zone
0,Central Harlem North,Central Harlem North
1,Hamilton Heights,Central Harlem
2,Central Harlem,Lenox Hill East
3,Park Slope,Park Slope
4,Brooklyn Heights,Murray Hill
5,Manhattan Beach,Sheepshead Bay
6,DUMBO/Vinegar Hill,Dyker Heights
7,Carroll Gardens,Red Hook
8,Greenpoint,East Williamsburg
9,Williamsburg (South Side),Penn Station/Madison Sq West
10,Central Harlem,Hamilton Heights
11,East Harlem South,East Harlem North
12,East Harlem North,TriBeCa/Civic Center
13,East Harlem North,Central Harlem North
14,Central Harlem,Fordham South
15,Soundview/Castle Hill,Norwood
16,Co-Op City,Pelham Parkway
17,Pelham Parkway,Highbridge
18,Jackson Heights,Woodside
19,Elmhurst,Woodside
20,University Heights/Morris Heights,Central Harlem North
21,Williamsburg (North Side),Stuyvesant Heights
22,DUMBO/Vinegar Hill,Union Sq
23,Brooklyn Heights,UN/Turtle Bay South
24,Forest Hills,Kew Gardens Hills
25,Forest Hills,Maspeth
26,Williamsburg (North Side),Williamsburg (South Side)
27,Central Harlem,East Harlem North
28,Van Cortlandt Park,Woodlawn/Wakefield
30,Fort Greene,Crown Heights North
31,Coney Island,Brighton Beach
32,East Harlem South,Claremont/Bathgate
33,East Harlem North,Bloomingdale
34,Central Harlem,Central Harlem
36,Mott Haven/Port Morris,Melrose South
37,Melrose South,Manhattanville
38,Jackson Heights,Jackson Heights
39,East Harlem North,East Harlem North
40,Central Harlem North,Central Harlem
41,Morningside Heights,Manhattanville
42,Morningside Heights,Washington Heights South
43,Central Harlem,Central Harlem North
44,Central Harlem,Upper West Side North
45,Jamaica,East Williamsburg
46,Astoria,Sunnyside
47,East Harlem South,Manhattan Valley
48,DUMBO/Vinegar Hill,Clinton East
49,Williamsburg (North Side),Two Bridges/Seward Park
50,Forest Hills,Jamaica
52,Boerum Hill,Flatiron
54,Brooklyn Heights,Lenox Hill West
55,Brooklyn Heights,Financial District South
56,Central Harlem,Manhattan Valley
57,Central Park,Midtown North
58,Central Harlem North,Melrose South
59,Melrose South,East Harlem North
60,Williamsburg (North Side),Lincoln Square West
61,Hamilton Heights,Inwood
62,Brighton Beach,Sheepshead Bay
64,East Harlem South,Stuyvesant Heights
65,East Williamsburg,East Williamsburg
66,Williamsburg (North Side),Greenpoint
68,Highbridge,Central Harlem North
69,Mott Haven/Port Morris,West Farms/Bronx River
70,Woodside,Woodside
71,Jackson Heights,Elmhurst
72,Jamaica,Queens Village
73,Sunset Park West,Brooklyn Heights
74,Elmhurst/Maspeth,Woodside
75,Long Island City/Queens Plaza,Old Astoria
76,Bushwick North,Greenpoint
77,Jackson Heights,East Elmhurst
78,Elmhurst,Jackson Heights
79,Astoria,Woodside
81,Williamsburg (North Side),East Village
82,East Williamsburg,Greenpoint
83,Greenpoint,Astoria
84,Elmhurst,Bushwick South
85,East Harlem South,East Harlem South
86,Woodside,Jackson Heights
87,Forest Hills,Forest Hills
90,Central Harlem North,Lincoln Square West
91,Central Harlem,Morrisania/Melrose
92,Astoria,Old Astoria
93,Astoria,Steinway
94,Astoria,Astoria
96,Mott Haven/Port Morris,Soundview/Castle Hill
97,Woodside,Sunnyside
98,Greenpoint,Two Bridges/Seward Park
99,Coney Island,Sutton Place/Turtle Bay North
100,Central Harlem North,Morningside Heights
101,Central Harlem,Long Island City/Queens Plaza
103,Woodside,Elmhurst
104,Central Harlem,Clinton West
106,Flushing,Flushing
107,Flushing,Murray Hill-Queens
109,DUMBO/Vinegar Hill,Meatpacking/West Village West
110,Central Harlem North,West Concourse
111,Highbridge,Washington Heights South
112,Crown Heights North,West Chelsea/Hudson Yards
113,Brooklyn Heights,Cobble Hill
114,Gravesend,Sheepshead Bay
116,Westchester Village/Unionport,Lincoln Square West
118,Central Harlem,Kips Bay
119,East Harlem South,Upper West Side North
120,East Concourse/Concourse Village,Soundview/Bruckner
121,Jamaica,Saint Albans
123,Erasmus,Brownsville
124,East Flatbush/Farragut,Prospect-Lefferts Gardens
125,Astoria,East Harlem North
126,North Corona,Corona
128,Soundview/Bruckner,Parkchester
129,East Harlem North,East Chelsea
130,Jackson Heights,Hunts Point
131,Forest Hills,Briarwood/Jamaica Hills
134,Williamsburg (North Side),Greenwich Village South
137,Woodside,Middle Village
138,Parkchester,Williamsbridge/Olinville
139,Crown Heights North,Crown Heights North
140,Central Harlem,Washington Heights South
141,Hamilton Heights,Hamilton Heights
142,Brooklyn Heights,Williamsburg (South Side)
143,Upper East Side North,Sutton Place/Turtle Bay North
145,DUMBO/Vinegar Hill,Lincoln Square West
146,Hamilton Heights,Morningside Heights
147,Morningside Heights,Central Harlem
149,Washington Heights South,Central Harlem
150,Williamsburg (North Side),Jackson Heights
151,Jackson Heights,Astoria
152,Astoria,Woodhaven
153,Central Harlem North,Upper West Side North
154,Central Harlem North,Bedford Park
155,East Harlem North,Alphabet City
156,Sheepshead Bay,Sheepshead Bay
158,Washington Heights South,University Heights/Morris Heights
160,Williamsburg (South Side),Central Harlem
161,Jamaica,Baisley Park
162,East Harlem North,Upper West Side North
164,Morningside Heights,Upper West Side South
166,Flatbush/Ditmas Park,Bay Ridge
168,Astoria,Corona
169,Bedford,Bedford
170,Jackson Heights,Elmhurst/Maspeth
171,Saint Albans,Springfield Gardens North
172,Greenpoint,Williamsburg (South Side)
173,Williamsburg (South Side),East Village
175,Elmhurst,North Corona
176,Park Slope,Sunset Park West
177,Morningside Heights,Morningside Heights
178,Richmond Hill,South Ozone Park
180,Stuyvesant Heights,Ridgewood
181,Ridgewood,Jackson Heights
182,DUMBO/Vinegar Hill,Downtown Brooklyn/MetroTech
183,Morningside Heights,LaGuardia Airport
184,Melrose South,Soundview/Castle Hill
185,Long Island City/Hunters Point,Old Astoria
186,Jackson Heights,Flushing Meadows-Corona Park
187,Central Harlem,Morningside Heights
189,Williamsburg (North Side),Lenox Hill West
190,Bushwick North,Williamsburg (North Side)
191,Bushwick North,Seaport
192,Williamsburg (South Side),Morrisania/Melrose
194,Steinway,Old Astoria
195,Old Astoria,Long Island City/Queens Plaza
196,Corona,Corona
198,Brooklyn Heights,Park Slope
199,Bedford Park,Bedford Park
201,Parkchester,Melrose South
202,East Williamsburg,Williamsburg (North Side)
203,Jamaica,Laurelton
204,North Corona,Jackson Heights
205,Central Harlem,Inwood
206,West Concourse,West Concourse
207,Jamaica,Springfield Gardens North
208,Central Harlem,East Harlem South
209,Williamsburg (North Side),East Williamsburg
210,Yorkville West,Lenox Hill East
211,East Harlem North,East Harlem South
212,Soundview/Castle Hill,Westchester Village/Unionport
213,East Harlem North,Highbridge
214,Sunnyside,Richmond Hill
215,Richmond Hill,Richmond Hill
216,East Harlem South,Upper West Side South
217,Sunnyside,Jackson Heights
218,Elmhurst,East Elmhurst
219,East Elmhurst,Old Astoria
220,Astoria,Queensbridge/Ravenswood
221,Morningside Heights,Williamsbridge/Olinville
222,Forest Hills,Bushwick South
223,Central Harlem North,Manhattan Valley
224,Bloomingdale,Yorkville West
226,Central Harlem,Randalls Island
227,East Harlem North,Manhattan Valley
228,Jamaica,Jamaica
230,Morningside Heights,Lincoln Square East
231,East Harlem South,Penn Station/Madison Sq West
232,Elmhurst,Springfield Gardens North
235,East Harlem North,Mount Hope
237,Downtown Brooklyn/MetroTech,LaGuardia Airport
238,East Harlem North,Lenox Hill East
239,Mott Haven/Port Morris,Mott Haven/Port Morris
240,East Concourse/Concourse Village,Bedford Park
241,Central Harlem North,Clinton East
242,Yorkville West,Yorkville West
244,Central Harlem,Times Sq/Theatre District
246,Central Park,Upper East Side North
248,Central Harlem,Washington Heights North
249,Washington Heights South,Manhattan Valley
252,East Harlem North,Central Harlem
253,East Harlem South,Lenox Hill West
254,Fort Greene,Bushwick South
255,Richmond Hill,Baisley Park
256,Downtown Brooklyn/MetroTech,JFK Airport
257,East Williamsburg,JFK Airport
258,East Harlem North,Manhattanville
259,East Harlem North,Upper East Side North
261,East Harlem North,UN/Turtle Bay South
262,Central Harlem,Mott Haven/Port Morris
264,Forest Hills,Kew Gardens
265,East Harlem South,Lincoln Square East
266,Bloomingdale,Central Harlem
270,Fort Greene,Park Slope
271,East Harlem South,Upper East Side North
272,East Harlem North,Upper East Side South
273,East Harlem North,East New York
275,Central Harlem North,Upper West Side South
278,Central Harlem,Midtown Center
279,Woodside,LaGuardia Airport
280,Park Slope,Fort Greene
281,Central Harlem,LaGuardia Airport
283,JFK Airport,Bay Ridge
285,Downtown Brooklyn/MetroTech,Columbia Street
287,East Harlem South,Yorkville West
289,Morningside Heights,Manhattan Valley
290,Central Harlem North,East Concourse/Concourse Village
294,Washington Heights South,Washington Heights South
295,Washington Heights South,Washington Heights North
296,Central Harlem,Bloomingdale
297,Central Park,Bloomingdale
299,East Harlem North,Yorkville West
301,Astoria,Kew Gardens
302,Mott Haven/Port Morris,East Harlem North
303,Upper East Side North,East Harlem South
304,Kew Gardens,Kew Gardens
306,East Williamsburg,Jackson Heights
307,East Harlem North,Stuy Town/Peter Cooper Village
308,Fort Greene,Little Italy/NoLiTa
309,Jackson Heights,Williamsburg (North Side)
